m	米
km	千米
mm	毫米
μm	微米
nm	纳米
cm	厘米
dm	分米
d	天
h	小时
min	分钟
s	秒
kg	千克
t	吨
mg	毫克
℃ 	摄氏度
℉	华氏度
L	升
ml	毫升
m²	平方米
km²	平方千米
cm²	平方厘米
hm²	公顷
m³	立方米
cm³	立方厘米
km³	立方千米
N	牛顿
°	度
:   比
