元	￥
美元	$
美元	USD
欧元	€
欧元	EUR
英镑	￡
日元	J￥
日元	JPY￥
港元	HK＄
港元	HKD
泰铢	฿
澳元	AUD
澳元	A$
卢布	SUR
卢布	₽
马克	DEM
马克	DM
法郎	FRF
加元	CAD
加元	CAD$
法郎	FRF
