abode
arisen
awoken
been
born
borne
beaten
become
begotten
begun
bent
bidden
bet
bid
bitten
bled
blown
broken
brought
broadcast
built
burnt
burst
bought
could
cast
caught
chidden
chid
chosen
clung
clothed
clad
come
cost
crept
cut
dealt
dug
dove
dived
done
drawn
dreamed
drunk
driven
dwelt
eaten
fallen
fed
felt
fought
found
fled
flung
flown
forbidden
forecast
foreseen
forgot
forgotten
forgiven
forsaken
frozen
got
gotten
given
gone
ground
grown
hung
had
heard
hidden
hit
held
hurt
kept
knelt
known
laid
led
leant
leapt
learnt
left
lent
let
lain
lit
lost
made
meant
met
mown
offset
overcome
partaken
paid
pleaded
preset
proven
put
quit
read
relaid
rent
rid
rung
risen
run
sawn
said
seen
sought
sold
sent
set
shaken
shed
shone
shod
shot
shown
shut
sung
sunk
sat
slain
slept
slid
slit
smelt
sown
spoken
sped
spelt
spent
spilt
spun
spit
spat
split
spoilt
spread
sprung
stood
stolen
stuck
stung
stunk
strewn
stricken
striven
sworn
sweat
swept
swollen
swum
swung
taken
taught
torn
told
thought
thrivens
thrown
thrust
typeset
undergone
understood
woken
worn
wept
wet
won
wound
withdrawn
wrung
written
