've	 have
won't	will not
didn't	did not
wouldn't	would not 
'll	 will
're	 are
'm	 am
don't	do not
doesn't	does not
can't	can not
couldn't	could not
mustn't	must not
shouldn't	should not
mightn't 	may not
isn't	is not
aren't	are not
haven't	have not
hasn't	has not
hadn't	had not
wasn't	was not
weren't	were not
